ipa,anio,clase,clase_predicha,acierto,no3_mgl,prob_normal,prob_riesgo,prob_afectada
211020002,2023,afectada,afectada,1,112.0,0.00030034984,0.00021279215,0.9994868
210980017,2021,afectada,afectada,1,89.0,0.0006949448,0.00033852452,0.9989666
251150055,2025,normal,normal,1,0.5,0.9940323,0.005549231,0.00041847205
221040043,2021,afectada,afectada,1,63.0,0.036455747,0.15682918,0.8067151
241130002,2025,normal,normal,1,16.3,0.9965861,0.0019115956,0.0015023558
231010130,2021,afectada,afectada,1,100.0,7.5578006e-05,5.2461808e-05,0.99987197
210980012,2025,normal,normal,1,20.3,0.99132323,0.0070210854,0.0016556296
221020024,2021,riesgo,afectada,0,36.0,0.0012392346,0.28017572,0.718585
211040587,2021,afectada,afectada,1,100.0,0.00027534008,0.0006487568,0.9990759
231030063,2015,afectada,afectada,1,185.0,4.1473348e-05,0.00017568484,0.99978286
220950084,2025,afectada,riesgo,0,46.0,0.009571047,0.52712375,0.46330523
241120074,2016,riesgo,afectada,0,25.5,0.010609251,0.2702913,0.71909946
241150187,2017,normal,normal,1,11.9,0.99945146,2.4903806e-05,0.0005236596
231070139,2024,afectada,afectada,1,192.0,0.00048619814,3.8597045e-05,0.9994752
211020002,2025,afectada,afectada,1,61.5,0.0032845251,0.001045384,0.9956701
231080029,2019,afectada,afectada,1,55.0,0.0003718226,0.00037700843,0.9992512
221040043,2019,afectada,afectada,1,54.0,0.009848564,0.0020275612,0.98812383
231030063,2020,afectada,afectada,1,233.0,3.988406e-05,0.00028243155,0.99967766
231080029,2023,afectada,afectada,1,48.5,0.0010895658,0.00504267,0.9938678
241150028,2017,normal,normal,1,1.8,0.99601257,0.002590937,0.0013965098
231020155,2025,afectada,afectada,1,49.4,0.0010138911,0.46355453,0.53543156
241150030,2025,normal,normal,1,2.6,0.99938273,0.0004879638,0.0001292534
210980020,2017,riesgo,afectada,0,31.4,0.00036333766,0.1318108,0.86782587
221060002,2024,normal,normal,1,20.3,0.91325265,0.03597422,0.050773125
211040003,2016,afectada,afectada,1,52.1,1.8441458e-05,9.778724e-05,0.9998838
241120074,2024,riesgo,riesgo,1,27.8,0.0059613953,0.83246607,0.16157259
221020024,2020,afectada,afectada,1,49.0,0.0019702993,0.008503405,0.9895263
210980012,2022,normal,normal,1,13.0,0.9915153,0.007992679,0.00049203826
231010130,2020,afectada,afectada,1,92.0,0.00012973695,0.00072518556,0.99914503
221280002,2015,normal,normal,1,1.0,0.99907756,0.00030042365,0.00062195404
211040583,2016,afectada,afectada,1,64.7,0.0012903413,0.00036555153,0.99834406
221210013,2021,normal,normal,1,2.5,0.99972945,0.00014405,0.00012649158
211040587,2019,afectada,afectada,1,87.8,0.0045815343,0.0023245725,0.99309397
210980012,2025,normal,normal,1,20.3,0.9899554,0.009370225,0.0006743094
221120045,2015,afectada,afectada,1,46.1,0.03904099,0.22668906,0.73427
241050045,2023,normal,normal,1,2.5,0.9997744,7.647229e-05,0.00014919681
241050067,2020,normal,normal,1,8.0,0.99760604,0.000629169,0.001764745
210980012,2022,normal,normal,1,13.0,0.9904603,0.008969516,0.00057021296
210970015,2019,normal,normal,1,8.0,0.995433,3.4955643e-05,0.0045321225
231050020,2016,afectada,afectada,1,57.6,4.501648e-05,0.00026385565,0.9996911
241120074,2021,riesgo,riesgo,1,30.0,0.011585335,0.8638227,0.12459196
231070081,2021,afectada,afectada,1,98.0,0.0007618087,0.00039796586,0.9988403
210980206,2020,afectada,afectada,1,47.0,0.0018052165,0.0072251367,0.9909697
220950084,2020,afectada,afectada,1,54.0,0.00030252687,0.0006604544,0.999037
221040043,2023,afectada,afectada,1,49.5,0.0027118467,0.0017762401,0.99551183
221020024,2017,riesgo,riesgo,1,31.8,0.0023781694,0.9101349,0.08748693
231030090,2025,riesgo,normal,0,26.3,0.96316326,0.033795953,0.0030407505
231050020,2022,afectada,afectada,1,57.0,0.00011155046,0.00014152414,0.999747
241140065,2021,afectada,afectada,1,47.0,0.04798971,0.02090708,0.9311032
210980214,2017,riesgo,afectada,0,31.5,0.011509889,0.48986605,0.498624
221020012,2022,riesgo,riesgo,1,26.0,0.0052197203,0.9884086,0.006371651
221130009,2021,normal,normal,1,3.0,0.9984586,0.00046987092,0.001071468
231020105,2022,normal,normal,1,5.0,0.99619824,0.0004225331,0.0033792139
221060091,2021,afectada,afectada,1,43.0,0.080901965,0.010926036,0.908172
210970015,2017,normal,normal,1,9.98,0.5801762,0.07396351,0.34586036
221020012,2018,riesgo,afectada,0,29.7,0.029377693,0.31605017,0.6545722
220950005,2025,afectada,afectada,1,112.6,0.0013665092,0.01596858,0.9826649
211020002,2020,afectada,afectada,1,106.0,0.0011905959,7.667063e-05,0.99873275
231030091,2023,afectada,afectada,1,80.0,0.0027631668,0.0062401844,0.9909966
251160072,2023,riesgo,normal,0,31.0,0.57503825,0.37469783,0.050263908
231070139,2015,afectada,afectada,1,215.0,4.338315e-05,3.9339113e-05,0.99991727
211020002,2024,afectada,afectada,1,145.0,0.00095344364,0.00013816917,0.9989084
241130002,2024,normal,normal,1,19.7,0.9980502,0.0017233113,0.00022647993
251160078,2025,riesgo,afectada,0,33.8,0.053316187,0.15857852,0.7881053
221060002,2019,riesgo,normal,0,26.0,0.8882627,0.014830293,0.096907035
210980020,2024,normal,afectada,0,17.9,0.20209987,0.353614,0.4442861
241160069,2016,normal,normal,1,4.56,0.9929588,0.0008568754,0.0061843474
221130009,2025,normal,normal,1,3.9,0.99851376,0.0012510672,0.00023514839
211040003,2015,afectada,afectada,1,94.5,0.00015143058,0.0001993095,0.9996493
220950053,2025,afectada,afectada,1,121.2,0.0003014084,0.0025280674,0.9971705
221060002,2017,afectada,afectada,1,38.1,0.44952512,0.004514714,0.5459602
241160181,2017,afectada,afectada,1,97.5,0.0020241416,0.00044908185,0.9975268
221020012,2019,riesgo,riesgo,1,31.0,0.00048875005,0.99515164,0.0043596476
220950084,2018,afectada,afectada,1,48.8,0.0014055594,0.0048140045,0.99378043
231010130,2023,afectada,afectada,1,60.0,0.0006323997,0.00056781055,0.9987998
231020155,2022,afectada,afectada,1,46.0,0.00074605574,0.0037336992,0.99552023
210980012,2020,normal,normal,1,16.0,0.9991684,0.0003010418,0.00053054525
210970015,2024,normal,normal,1,2.5,0.9972801,0.0013074945,0.0014123601
210980012,2025,normal,normal,1,21.9,0.9978998,0.0019533203,0.00014694511
251220026,2024,riesgo,riesgo,1,34.3,0.00634745,0.9098826,0.083769925
221060091,2016,afectada,afectada,1,50.9,0.0054955487,0.0067941137,0.9877103
241160069,2024,normal,normal,1,2.52,0.99913687,0.00041579752,0.00044740379
221030044,2025,afectada,afectada,1,66.4,0.0026160516,0.1041304,0.8932535
241160255,2021,afectada,afectada,1,45.0,0.0072839563,0.07680628,0.91590977
220950053,2023,afectada,afectada,1,69.0,0.00042101665,0.0012355972,0.99834335
211040583,2015,afectada,afectada,1,86.8,0.00013265584,0.00022670739,0.9996406
241120074,2015,afectada,riesgo,0,57.2,0.14906801,0.7655454,0.08538656
221030027,2016,afectada,afectada,1,297.0,0.00054854207,0.19022372,0.80922776
210980012,2016,normal,normal,1,8.49,0.9975032,0.0017916835,0.0007050468
231070139,2016,afectada,afectada,1,210.0,1.4653455e-05,0.00022738818,0.99975795
221040004,2020,afectada,afectada,1,76.6,1.78628e-05,0.0003153474,0.9996668
210980214,2025,normal,normal,1,22.5,0.9577449,0.021065736,0.021189304
211040003,2019,afectada,afectada,1,90.0,0.00023144795,0.00012311031,0.9996455
231060003,2025,afectada,afectada,1,54.2,0.0013966924,0.013009545,0.98559374
231030091,2024,afectada,afectada,1,57.0,0.010751319,0.0008028676,0.98844576
251150055,2022,normal,normal,1,9.0,0.98700154,0.0028196753,0.010178749
241330041,2020,riesgo,afectada,0,25.0,0.01623729,0.487155,0.49660778
241120074,2019,afectada,riesgo,0,44.7,0.07808526,0.58544123,0.3364735
231050020,2023,afectada,afectada,1,46.5,0.0010621379,0.00017432288,0.99876356
210980017,2017,afectada,afectada,1,115.0,0.00028553052,0.0013745775,0.9983399
231030090,2023,normal,riesgo,0,20.6,0.09975997,0.8875828,0.012657211
221020012,2015,riesgo,riesgo,1,34.2,0.00075396645,0.9964306,0.002815524
241160181,2022,afectada,afectada,1,70.0,0.005067397,0.0053320075,0.9896006
210980114,2025,afectada,afectada,1,69.6,0.011581564,0.020372417,0.96804607
221030031,2025,riesgo,afectada,0,33.8,0.08151774,0.00044764837,0.91803455
241050067,2025,normal,normal,1,5.9,0.9924355,0.006640311,0.00092417636
210980017,2017,afectada,afectada,1,110.0,0.00014404704,0.0001147157,0.99974126
221280002,2021,normal,normal,1,2.5,0.99984527,5.0915274e-05,0.00010376379
231070081,2016,afectada,afectada,1,113.0,0.00013279771,0.00051177945,0.9993554
211040003,2022,afectada,afectada,1,93.0,0.00021954584,0.0012855063,0.998495
211020002,2015,afectada,afectada,1,184.0,0.0008976914,0.00015230467,0.99895006
241330041,2025,afectada,afectada,1,60.1,0.06864863,0.066485584,0.8648658
241050067,2022,normal,normal,1,20.0,0.9959527,0.0028191973,0.0012280565
241130030,2025,normal,normal,1,5.0,0.99232626,0.00670015,0.0009736703
220960018,2025,normal,normal,1,21.9,0.5751571,0.094347574,0.3304953
231020159,2017,riesgo,riesgo,1,29.6,0.013539236,0.49955896,0.48690185
231070139,2023,afectada,afectada,1,198.0,0.00016666522,0.00023511657,0.9995982
241160069,2019,normal,normal,1,4.0,0.99414575,0.004061053,0.0017931206
220950084,2025,afectada,afectada,1,57.9,0.04731547,0.14477699,0.8079075
211030763,2015,normal,normal,1,10.4,0.9788128,0.013612609,0.007574593
241160255,2019,afectada,afectada,1,45.0,0.006417094,0.00149079,0.99209213
210980114,2025,afectada,afectada,1,52.2,0.00036446896,0.022959495,0.97667605
241180002,2025,afectada,afectada,1,219.5,0.0038904946,0.03359442,0.9625151
221040004,2016,afectada,afectada,1,142.0,2.5802445e-05,8.648455e-05,0.9998877
231060003,2015,afectada,afectada,1,94.0,6.80147e-05,0.00014327458,0.9997887
210960027,2021,riesgo,afectada,0,32.0,0.26142898,0.002427024,0.736144
210980012,2017,normal,normal,1,8.9,0.99753475,0.0018631514,0.00060204265
241150028,2015,normal,normal,1,4.13,0.99334234,0.00061595056,0.006041744
210980012,2021,normal,normal,1,18.0,0.9996468,0.00025081215,0.00010234463
210980206,2016,afectada,afectada,1,50.4,0.064320095,0.16063459,0.77504534
210980214,2015,riesgo,afectada,0,32.3,0.092739485,0.018103536,0.88915694
220950005,2019,afectada,afectada,1,113.8,0.00025670815,5.7215184e-05,0.9996861
221030030,2021,afectada,afectada,1,65.0,0.000102543585,0.0015288519,0.9983687
210940011,2025,normal,normal,1,2.9,0.6876236,0.00090114045,0.31147525
251220026,2023,riesgo,riesgo,1,34.3,0.0013943644,0.9024911,0.09611449
210980020,2023,riesgo,afectada,0,33.4,0.012625432,0.039828952,0.9475456
251160035,2024,riesgo,riesgo,1,35.6,0.0032736443,0.95228475,0.044441536
210980206,2022,riesgo,normal,0,35.0,0.50714797,0.21310619,0.27974582
241230015,2021,normal,normal,1,23.0,0.99786407,0.00035803072,0.0017778706
231050145,2021,normal,riesgo,0,16.0,0.18851443,0.79351294,0.0179726
221120045,2025,riesgo,riesgo,1,30.5,0.1913572,0.80152893,0.007113844
221020012,2024,normal,riesgo,0,23.7,0.024510259,0.9191777,0.05631199
241280001,2022,normal,normal,1,2.5,0.9982457,0.0008803637,0.0008739101
210970033,2025,riesgo,afectada,0,34.7,0.28266385,0.00086499384,0.71647114
210980248,2024,afectada,afectada,1,148.0,0.0048792665,0.003531153,0.9915896
211040524,2024,afectada,afectada,1,138.0,0.051572282,0.0095637785,0.9388639
241120074,2025,riesgo,riesgo,1,26.2,0.0009384027,0.96671104,0.032350514
211020002,2016,afectada,afectada,1,117.0,0.0007329157,0.00022292462,0.9990441
221040004,2019,afectada,afectada,1,97.5,0.0002007955,0.0011144103,0.9986848
231020159,2020,normal,afectada,0,17.0,0.017844182,0.026544413,0.95561135
231030063,2016,afectada,afectada,1,154.0,4.92966e-05,0.0001294272,0.99982125
211020172,2018,afectada,afectada,1,88.5,2.2747994e-05,2.3232944e-05,0.999954
231050145,2019,riesgo,riesgo,1,28.0,0.33524612,0.66000235,0.004751561
251220026,2023,riesgo,afectada,0,30.5,0.009419144,0.44151193,0.5490689
231030063,2016,afectada,afectada,1,171.0,1.4803277e-05,0.00018372649,0.99980146
211040003,2024,afectada,afectada,1,67.0,0.003239144,0.0020145418,0.9947463
221020012,2023,afectada,afectada,1,45.4,0.0053086947,0.0211265,0.9735648
211040003,2015,afectada,afectada,1,99.4,2.6253532e-05,2.773235e-05,0.999946
251160078,2025,afectada,normal,0,50.3,0.9449453,0.041206826,0.0138478745
231030088,2017,normal,normal,1,5.1,0.9654664,0.03120074,0.0033328494
210980017,2020,afectada,afectada,1,97.0,0.00020433808,0.00025860628,0.9995371
231030063,2023,afectada,afectada,1,176.0,0.0002669208,0.0016281204,0.99810493
231180025,2025,normal,normal,1,5.0,0.98727417,0.00077834766,0.011947465
221040004,2017,afectada,afectada,1,79.2,6.075362e-05,0.00023199154,0.9997073
241160207,2017,normal,normal,1,7.4,0.9996784,0.00019225304,0.00012938623
241160069,2025,normal,normal,1,3.5,0.9990403,0.0007796863,0.00017992622
211020002,2015,afectada,afectada,1,117.0,0.0009397678,6.254793e-05,0.99899775
231030088,2020,normal,normal,1,13.0,0.99902844,0.00052130775,0.00045023893
231010130,2020,afectada,afectada,1,97.0,0.00021338802,5.179428e-05,0.9997348
231020155,2015,afectada,afectada,1,102.0,0.0030487734,0.039741874,0.9572094
210980017,2018,afectada,afectada,1,111.7,4.493625e-05,0.00016526716,0.9997898
221040004,2025,afectada,afectada,1,78.6,4.494808e-05,0.00033687922,0.9996182
241280020,2023,normal,normal,1,2.5,0.9960985,0.0032617652,0.00063974573
210980020,2021,riesgo,riesgo,1,30.0,0.012504866,0.8289747,0.15852048
221030030,2022,afectada,afectada,1,62.0,2.056744e-05,1.5593836e-05,0.9999639
221020024,2020,afectada,riesgo,0,39.0,0.00052729034,0.8530947,0.14637798
231030088,2020,normal,normal,1,6.0,0.9938844,0.0024366206,0.0036789735
211030763,2023,normal,normal,1,9.5,0.9995709,0.00014015472,0.00028888337
221030030,2017,afectada,afectada,1,93.6,0.0001101251,0.0035377552,0.9963521
231030063,2020,afectada,afectada,1,187.0,0.00041852667,0.000714244,0.9988673
210980017,2020,afectada,afectada,1,99.0,0.000244257,1.5330872e-05,0.9997404
241160069,2017,normal,normal,1,4.46,0.99147195,0.0017110703,0.0068170032
241160207,2025,normal,normal,1,1.0,0.9996302,0.0001390675,0.00023067537
