ipa,x_utm30,y_utm30,nombre_punto,municipio,provincia,masa_agua,red,lon_x,lat_x,lat_y,lon_y,soil_cec_0_5cm,soil_cec_15_30cm,soil_cec_5_15cm,soil_clay_0_5cm,soil_clay_15_30cm,soil_clay_5_15cm,soil_phh2o_0_5cm,soil_phh2o_15_30cm,soil_phh2o_5_15cm,soil_sand_0_5cm,soil_sand_15_30cm,soil_sand_5_15cm,soil_silt_0_5cm,soil_silt_15_30cm,soil_silt_5_15cm,soil_soc_0_5cm,soil_soc_15_30cm,soil_soc_5_15cm,soil_wv0033_0_5cm,soil_wv0033_15_30cm,soil_wv0033_5_15cm,soil_wv1500_0_5cm,soil_wv1500_15_30cm,soil_wv1500_5_15cm,clc2012_codigo,clc2012_nombre,clc2012_agricola,clc2018_codigo,clc2018_nombre,clc2018_agricola,cambio_clc_2012_2018,sigpac_uso,sigpac_uso_nombre,sigpac_superficie_m2,sigpac_pendiente_pct,sigpac_coef_regadio,sigpac_es_agricola,dist_sigpac_m,zona_vulnerable_nitratos,altitud_dem_m
221040043,536856,4697980,BODEGAS CORRAL,NAVARRETE,Rioja (La),ALUVIAL DEL NAJERILLA-EBRO,RNIT,-2.551921968548726,42.43326316274595,42.43326316274595,-2.551921968548726,22.0,16.6,19.1,24.700000000000003,25.700000000000003,23.8,7.7,8.0,8.0,24.0,22.8,24.5,49.0,47.0,49.0,19.0,10.9,11.0,0.34900000000000003,0.33,0.339,0.162,0.167,0.167,242,Mosaico cultivos,True,242,Mosaico cultivos,True,False,ZU,Zona urbana,24398.31889342541,0.23,,False,0.0,True,472.3800354003906
221080061,538113,4695352,FUENTE NAVARRETE. FUENTE DEL PRADO,NAVARRETE,Rioja (La),SIN DEFINIR MASA,RNIT,-2.5368146601699086,42.40953540715909,42.40953540715909,-2.5368146601699086,20.5,15.200000000000001,17.2,21.0,23.5,21.0,7.9,8.0,8.0,26.900000000000002,24.400000000000002,27.0,47.0,45.6,47.5,19.900000000000002,10.600000000000001,10.3,0.35000000000000003,0.338,0.34400000000000003,0.154,0.154,0.154,221,Vinedos,True,221,Vinedos,True,False,MT,Monte bajo / Matorral,1590.4405489337184,0.61,0.0,False,0.0,False,498.3445739746094
231050145,545213,4694131,Mogrones (PO: 17; PA: 104 ),ALBERITE,Rioja (La),ALUVIAL DE LA RIOJA-MENDAVIA,RNIT,-2.4506282182385846,42.39815846024035,42.39815846024035,-2.4506282182385846,18.6,16.400000000000002,17.2,23.6,24.8,24.5,7.6000000000000005,7.7,7.7,25.6,25.200000000000003,26.700000000000003,47.900000000000006,45.0,47.0,29.900000000000002,12.4,12.9,0.339,0.318,0.329,0.159,0.158,0.157,242,Mosaico cultivos,True,242,Mosaico cultivos,True,False,TA,Tierra arable,758.2287939020938,0.26,100.0,True,0.0,False,453.52001953125
231060003,547152,4694126,FUENTE DE LA DEHESA (Po. 13; Pa. 202),ALBERITE,Rioja (La),SIN DEFINIR MASA,RNIT,-2.427069447301891,42.39799811322175,42.39799811322175,-2.427069447301891,21.5,16.2,18.400000000000002,26.5,28.200000000000003,26.6,7.9,8.0,8.1,26.200000000000003,25.0,26.400000000000002,43.900000000000006,41.0,43.2,19.1,10.8,11.600000000000001,0.333,0.324,0.324,0.165,0.161,0.165,242,Mosaico cultivos,True,242,Mosaico cultivos,True,False,IM,Improductivo,96.66089739338861,0.81,,False,0.0,True,504.2480163574219
231010130,542154,4703974,INDUKIT,LOGROÑO,Rioja (La),ALUVIAL DE LA RIOJA-MENDAVIA,RNIT,-2.487073312993152,42.4869727570159,42.4869727570159,-2.487073312993152,20.3,16.0,16.6,23.1,23.900000000000002,25.5,7.800000000000001,8.0,8.0,23.900000000000002,22.700000000000003,23.0,45.300000000000004,43.800000000000004,44.1,18.6,11.5,11.700000000000001,0.358,0.34600000000000003,0.35000000000000003,0.176,0.185,0.176,242,Mosaico cultivos,True,242,Mosaico cultivos,True,False,IM,Improductivo,17307.69843418291,0.24,,False,0.0,True,377.3572998046875
231020159,550879,4701051,PASADA DEL ESPINAL,LOGROÑO,Rioja (La),ALUVIAL DE LA RIOJA-MENDAVIA,RNIT,-2.3811730639845217,42.46012571289091,42.46012571289091,-2.3811730639845217,20.400000000000002,14.600000000000001,16.3,23.700000000000003,25.1,24.5,7.800000000000001,8.0,8.0,21.6,20.900000000000002,21.6,51.0,48.1,49.5,18.900000000000002,10.200000000000001,11.8,0.354,0.332,0.34500000000000003,0.165,0.185,0.184,242,Mosaico cultivos,True,242,Mosaico cultivos,True,False,CA,Viales,2020.6837001470403,0.56,,False,0.0,True,365.343017578125
231030091,553380,4700080,LA TEJERA,LOGROÑO,Rioja (La),ALUVIAL DE LA RIOJA-MENDAVIA,RNIT,-2.3508462786992776,42.45121323934095,42.45121323934095,-2.3508462786992776,19.400000000000002,15.4,17.2,22.400000000000002,24.8,23.3,8.0,8.0,8.0,21.6,21.0,21.6,51.2,48.0,51.2,18.7,10.700000000000001,12.3,0.332,0.318,0.325,0.17,0.185,0.185,212,Terrenos regados,True,212,Terrenos regados,True,False,CA,Viales,12120.305583253885,1.02,,False,0.0,False,356.8632507324219
220950084,512304,4713120,Pozo Mazo 2,HARO,Rioja (La),ALUVIAL DEL OJA,RNIT,-2.8500863567929398,42.57038980189249,42.57038980189249,-2.8500863567929398,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112,Tejido urbano discontinuo,False,112,Tejido urbano discontinuo,False,False,ZU,Zona urbana,3169966.949362416,0.85,,False,0.0,True,470.14300537109375
221020012,523646,4700013,FUENTE EDESA,TORREMONTALBO,Rioja (La),ALUVIAL DEL NAJERILLA-EBRO,RNIT,-2.7124367495827593,42.4520873303707,42.4520873303707,-2.7124367495827593,22.0,15.8,17.8,23.900000000000002,25.8,23.900000000000002,7.800000000000001,7.9,7.9,25.0,23.200000000000003,25.0,45.2,44.400000000000006,45.900000000000006,19.900000000000002,10.700000000000001,11.0,0.336,0.324,0.332,0.158,0.154,0.154,221,Vinedos,True,221,Vinedos,True,False,IM,Improductivo,7308.25177686442,0.61,,False,0.0,False,474.62774658203125
221040004,536374,4703623,FUENTE TUNEL,FUENMAYOR,Rioja (La),ALUVIAL DEL NAJERILLA-EBRO,RNIT,-2.5574239961875946,42.48410494753875,42.48410494753875,-2.5574239961875946,19.8,15.8,17.0,27.1,27.8,28.0,7.9,8.1,8.1,24.5,23.900000000000002,24.1,42.400000000000006,40.1,42.5,21.6,10.8,11.3,0.34700000000000003,0.343,0.34,0.167,0.163,0.162,221,Vinedos,True,221,Vinedos,True,False,CA,Viales,85574.61935691511,4.68,,False,0.0,True,407.08001708984375
231070139,557208,4691574,La Senda (PO: 16; PA: 214),MURILLO DE RÍO LEZA,Rioja (La),ALUVIAL DE LA RIOJA-MENDAVIA,RNIT,-2.305143313471492,42.37434062331717,42.37434062331717,-2.305143313471492,18.400000000000002,16.5,16.400000000000002,26.6,28.0,27.3,7.9,8.0,8.0,23.8,23.6,24.200000000000003,45.300000000000004,43.400000000000006,44.2,18.8,10.200000000000001,12.600000000000001,0.35100000000000003,0.329,0.336,0.165,0.168,0.168,242,Mosaico cultivos,True,242,Mosaico cultivos,True,False,FY,Frutales,2817.7227647437217,1.37,100.0,True,0.0,True,468.884033203125
231030063,556976,4696787,FUENTE DE MURILLO,MURILLO DE RÍO LEZA,Rioja (La),ALUVIAL DE LA RIOJA-MENDAVIA,RNIT,-2.307444977157672,42.42130272356113,42.42130272356113,-2.307444977157672,18.3,15.4,16.2,26.1,27.5,26.8,7.7,8.0,8.0,22.1,22.1,22.5,48.800000000000004,47.900000000000006,49.400000000000006,16.5,9.9,11.8,0.34900000000000003,0.326,0.34400000000000003,0.155,0.162,0.163,242,Mosaico cultivos,True,242,Mosaico cultivos,True,False,MT,Monte bajo / Matorral,2780.2320498422755,0.98,0.0,False,0.0,True,378.61602783203125
