idptoinven,toponimo,x,y,coordz,tipocaptac,profmax,municipio_,provincia_,dominio_de,masasubta_,masasubtb_,acuifero_g,conlitolog,conhidroqu,conexpedie,conensayos,conpiezome,url,enredrbas,enredrnit,enredr500,enredrpiez,datos,id_punto,nombre_punto,municipio,soil_clay_0-5cm,soil_clay_5-15cm,soil_clay_15-30cm,soil_silt_0-5cm,soil_silt_5-15cm,soil_silt_15-30cm,soil_sand_0-5cm,soil_sand_5-15cm,soil_sand_15-30cm,soil_phh2o_0-5cm,soil_phh2o_5-15cm,soil_phh2o_15-30cm,soil_cec_0-5cm,soil_cec_5-15cm,soil_cec_15-30cm,soil_soc_0-5cm,soil_soc_5-15cm,soil_soc_15-30cm,soil_wv0033_0-5cm,soil_wv0033_5-15cm,soil_wv0033_15-30cm,soil_wv1500_0-5cm,soil_wv1500_5-15cm,soil_wv1500_15-30cm,textura_usda,agua_disponible_cm3cm3,sigpac_uso,sigpac_pendiente_media,sigpac_altitud,sigpac_coef_regadio,sigpac_superficie_m2,dist_sigpac_m,zona_vulnerable,altitud_m
2110-4-0003,FUENTE DE CIDAMÃN,509763,4704680,579.6630249,MANANTIAL,0,CIDAMON,LA RIOJA,DepresiÃ³n del Ebro,045 | ALUVIAL DEL OJA,|,04502 | Cuaternario aluvial - Aluviales y terrazas,SÃ­,SÃ­,No,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2110-4-0003_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=211040003,2110-4-0003,FUENTE DE CIDAMÃN,CIDAMON,22.5,23.5,27.5,48.1,47.2,42.900000000000006,24.6,24.700000000000003,23.0,7.4,7.7,7.7,20.200000000000003,16.2,15.1,28.200000000000003,12.1,10.4,0.348,0.34,0.336,0.162,0.164,0.164,Franco arcillo limoso,0.186,PR,113.0,581.0,0.0,5318.851242021235,0.0,True,581.744
2110-4-0524,POZO SOMBRÃO,511803,4705137,575.05499268,POZO,5.6,CIDAMON,LA RIOJA,DepresiÃ³n del Ebro,045 | ALUVIAL DEL OJA,|,04502 | Cuaternario aluvial - Aluviales y terrazas,SÃ­,No,No,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2110-4-0524_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=211040524,2110-4-0524,POZO SOMBRÃO,CIDAMON,25.6,26.3,26.700000000000003,49.3,48.5,47.0,21.200000000000003,21.6,18.6,7.800000000000001,7.800000000000001,7.800000000000001,20.200000000000003,16.5,14.8,23.6,12.1,10.4,0.333,0.322,0.312,0.187,0.187,0.187,Franco arcillo limoso,0.146,TA,34.0,575.0,100.0,7676.934046513939,0.0,True,575.5569
2210-4-0004,FUENTE TÃNEL,536374,4703623,399.75601196,MANANTIAL,0,FUENMAYOR,LA RIOJA,DepresiÃ³n del Ebro,047 | ALUVIAL DEL NAJERILLA-EBRO,|,04702 | Cuaternario aluvial - Aluviales y terrazas,SÃ­,SÃ­,No,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2210-4-0004_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=221040004,2210-4-0004,FUENTE TÃNEL,FUENMAYOR,27.1,28.0,27.8,42.400000000000006,42.5,40.1,24.5,24.1,23.9,7.9,8.1,8.1,19.8,17.0,15.8,21.6,11.3,10.8,0.347,0.34,0.343,0.167,0.162,0.163,Arcilla limosa,0.18,CA,468.0,409.0,,85574.61935691511,0.0,True,407.08002
2210-3-0030,FUENTE ESCARPE,526671,4705342,422.38500977,MANANTIAL,0,CENICERO,LA RIOJA,DepresiÃ³n del Ebro,047 | ALUVIAL DEL NAJERILLA-EBRO,|,04702 | Cuaternario aluvial - Aluviales y terrazas,No,SÃ­,No,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2210-3-0030_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=221030030,2210-3-0030,FUENTE ESCARPE,CENICERO,26.9,28.3,26.8,40.6,39.5,39.5,25.8,26.200000000000003,23.8,7.800000000000001,8.0,8.0,18.8,16.8,15.6,21.1,9.9,11.0,0.353,0.341,0.33,0.16,0.159,0.158,Arcilla limosa,0.1929999999999999,VI,301.0,424.0,0.0,2088.9556730385525,0.0,True,428.669
2210-2-0024,FUENTEFRÃA,524272,4703698,433.66799927,MANANTIAL,0,CENICERO,LA RIOJA,DepresiÃ³n del Ebro,047 | ALUVIAL DEL NAJERILLA-EBRO,|,04702 | Cuaternario aluvial - Aluviales y terrazas,No,No,No,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2210-2-0024_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=221020024,2210-2-0024,FUENTEFRÃA,CENICERO,25.200000000000003,25.200000000000003,25.8,39.6,40.1,39.900000000000006,26.4,27.8,25.5,7.0,7.2,7.2,21.5,17.3,15.8,28.5,12.4,12.2,0.349,0.343,0.338,0.154,0.154,0.154,Arcilla limosa,0.195,FO,121.0,433.0,0.0,1369.96407057589,0.0,True,443.67603
2210-6-0002,CARRETERA NÃJERA-TRICIO,522216,4695059,504.05999756,MANANTIAL,0,NAJERA,LA RIOJA,DepresiÃ³n del Ebro,047 | ALUVIAL DEL NAJERILLA-EBRO,|,04702 | Cuaternario aluvial - Aluviales y terrazas,SÃ­,SÃ­,No,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2210-6-0002_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=221060002,2210-6-0002,CARRETERA NÃJERA-TRICIO,NAJERA,20.9,24.0,27.8,41.3,39.7,38.900000000000006,23.4,22.9,21.9,7.800000000000001,7.9,7.9,23.5,20.3,17.400000000000002,16.8,10.2,10.3,0.346,0.339,0.329,0.161,0.161,0.162,Franco arcillo limoso,0.185,TA,379.0,504.0,0.0,1405.8035614098,0.0,False,507.47302
2211-2-0045,BAJADA AL RÃO DESDE EL CASCO URBANI,519982,4686733,565.12097168,MANANTIAL,0,BAÃOS DE RIO TOBIA,LA RIOJA,DepresiÃ³n del Ebro,047 | ALUVIAL DEL NAJERILLA-EBRO,|,04702 | Cuaternario aluvial - Aluviales y terrazas,No,SÃ­,No,No,No,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2211-2-0045_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=221120045,2211-2-0045,BAJADA AL RÃO DESDE EL CASCO URBANI,BAÃOS DE RIO TOBIA,22.1,22.1,27.0,48.400000000000006,47.7,44.900000000000006,23.8,23.9,21.9,7.800000000000001,8.0,7.9,21.5,16.5,15.0,22.4,11.6,12.0,0.35,0.335,0.331,0.155,0.158,0.156,Franco arcillo limoso,0.195,MT,491.0,562.0,0.0,632.066906270657,0.0,False,557.70404
2210-6-0091,MANANTIAL DE RIVAS CAIDAS,524197,4694062,561.71502686,MANANTIAL,0,TRICIO,LA RIOJA,DepresiÃ³n del Ebro,047 | ALUVIAL DEL NAJERILLA-EBRO,|,04702 | Cuaternario aluvial - Aluviales y terrazas,No,SÃ­,No,No,No,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2210-6-0091_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=221060091,2210-6-0091,MANANTIAL DE RIVAS CAIDAS,TRICIO,25.0,28.1,29.1,46.5,43.400000000000006,41.900000000000006,21.4,21.3,20.4,7.800000000000001,8.0,8.0,21.0,17.5,15.7,23.6,11.4,12.2,0.353,0.342,0.326,0.181,0.187,0.187,Franco arcillo limoso,0.172,FO,125.0,562.0,0.0,8557.011664482998,0.0,False,560.127
2210-3-0044,C/ RUÃZ DE AZCÃRRAGA 34,529778,4703434,432,POZO,8,CENICERO,LA RIOJA,DepresiÃ³n del Ebro,047 | ALUVIAL DEL NAJERILLA-EBRO,|,04702 | Cuaternario aluvial - Aluviales y terrazas,No,No,No,No,No,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2210-3-0044_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=221030044,2210-3-0044,C/ RUÃZ DE AZCÃRRAGA 34,CENICERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Franco,0.0,ZU,124.0,440.0,,940661.7742562816,0.0,True,430.72003
2210-4-0043,BODEGAS CORRAL,536856,4697980,471.03900146,EXCAVACIÃN,4.5,NAVARRETE,LA RIOJA,DepresiÃ³n del Ebro,047 | ALUVIAL DEL NAJERILLA-EBRO,|,04702 | Cuaternario aluvial - Aluviales y terrazas,No,SÃ­,No,No,No,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2210-4-0043_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=221040043,2210-4-0043,BODEGAS CORRAL,NAVARRETE,24.700000000000003,23.8,25.700000000000003,49.0,49.0,47.0,24.0,24.5,22.8,7.7,8.0,8.0,22.0,19.1,16.6,19.0,11.0,10.9,0.349,0.339,0.33,0.162,0.167,0.167,Franco arcillo limoso,0.187,ZU,23.0,472.0,,24398.31889342541,0.0,True,472.38004
2210-2-0012,FUENTE EDESA (SOMALO),523646,4700013,472.815,MANANTIAL,9999,TORREMONTALBO,LA RIOJA,DepresiÃ³n del Ebro,047 | ALUVIAL DEL NAJERILLA-EBRO,|,04702 | Cuaternario aluvial - Aluviales y terrazas,SÃ­,SÃ­,No,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2210-2-0012_ipa.pdf,SÃ­,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=221020012,2210-2-0012,FUENTE EDESA (SOMALO),TORREMONTALBO,23.9,23.9,25.8,45.2,45.900000000000006,44.400000000000006,25.0,25.0,23.200000000000003,7.800000000000001,7.9,7.9,22.0,17.8,15.8,19.9,11.0,10.7,0.336,0.332,0.324,0.158,0.154,0.154,Franco arcillo limoso,0.178,IM,61.0,477.0,,7308.25177686442,0.0,False,474.62775
2210-2-0093,PRANIGUELA,524303,4696756,514.672,POZO,6,HUERCANOS,LA RIOJA,DepresiÃ³n del Ebro,047 | ALUVIAL DEL NAJERILLA-EBRO,|,04702 | Cuaternario aluvial - Aluviales y terrazas,SÃ­,SÃ­,SÃ­,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2210-2-0093_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=221020093,2210-2-0093,PRANIGUELA,HUERCANOS,20.4,21.0,25.5,46.1,46.1,39.1,26.3,26.6,24.5,8.0,8.0,8.0,22.5,16.7,14.4,15.2,9.0,10.0,0.347,0.342,0.339,0.152,0.153,0.154,Franco arcillo limoso,0.195,TA,35.0,514.0,100.0,1565.5751781914544,0.0,False,514.28
