ipa,x_utm30,y_utm30,nombre_punto,municipio,provincia,masa_agua,red,lon_x,lat_x,lat_y,lon_y,soil_cec_0_5cm,soil_cec_15_30cm,soil_cec_5_15cm,soil_clay_0_5cm,soil_clay_15_30cm,soil_clay_5_15cm,soil_phh2o_0_5cm,soil_phh2o_15_30cm,soil_phh2o_5_15cm,soil_sand_0_5cm,soil_sand_15_30cm,soil_sand_5_15cm,soil_silt_0_5cm,soil_silt_15_30cm,soil_silt_5_15cm,soil_soc_0_5cm,soil_soc_15_30cm,soil_soc_5_15cm,soil_wv0033_0_5cm,soil_wv0033_15_30cm,soil_wv0033_5_15cm,soil_wv1500_0_5cm,soil_wv1500_15_30cm,soil_wv1500_5_15cm,clc2012_codigo,clc2012_nombre,clc2012_agricola,clc2018_codigo,clc2018_nombre,clc2018_agricola,cambio_clc_2012_2018,sigpac_uso,sigpac_uso_nombre,sigpac_superficie_m2,sigpac_pendiente_pct,sigpac_coef_regadio,sigpac_es_agricola,dist_sigpac_m,zona_vulnerable_nitratos,altitud_dem_m,ndvi_2015,ndvi_2016,ndvi_2017,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2021,ndvi_2022,ndvi_2023,ndvi_2024,ndvi_2025,ndvi_media_periodo,ndvi_min_periodo,ndvi_max_periodo,ndvi_cambio_periodo
221020024,524272,4703698,FUENTEFRÍA,CENICERO,Rioja (La),ALUVIAL DEL NAJERILLA-EBRO,RNIT,-2.7046679845496135,42.485254386674384,42.485254386674384,-2.7046679845496135,21.5,15.8,17.3,25.200000000000003,25.8,25.200000000000003,7.0,7.2,7.2,26.400000000000002,25.5,27.8,39.6,39.900000000000006,40.1,28.5,12.200000000000001,12.4,0.34900000000000003,0.338,0.343,0.154,0.154,0.154,311,Bosque frondosas,False,311,Bosque frondosas,False,False,FO,Forestal,1369.96407057589,1.21,0.0,False,0.0,True,443.676025390625,0.7898528339468158,0.8439650331005608,0.8831037878990173,0.8517690896987915,0.8807500600814819,0.8708665370941162,0.8787878751754761,0.8743496537208557,0.8944306373596191,0.8944206237792969,0.552666962146759,0.8377239176366174,0.552666962146759,0.8944306373596191,-0.2371858718000568
221030031,527852,4703429,FUENTE CARRETERA NAJERA-CENICERO,CENICERO,Rioja (La),SIN DEFINIR MASA,RNIT,-2.6611217399980944,42.48271132080834,42.48271132080834,-2.6611217399980944,20.200000000000003,15.8,17.8,26.400000000000002,28.6,27.0,8.0,8.1,8.200000000000001,21.0,19.900000000000002,21.1,46.6,42.7,45.5,21.200000000000003,9.9,10.0,0.361,0.35000000000000003,0.35100000000000003,0.17500000000000002,0.189,0.189,221,Vinedos,True,221,Vinedos,True,False,MT,Monte bajo / Matorral,2207.1217785626523,1.71,0.0,False,0.0,False,479.4120178222656,0.45311381195461886,0.4907997276250028,0.6370799541473389,0.5017421841621399,0.5447238087654114,0.5700147151947021,0.6558076739311218,0.602840781211853,0.7209792137145996,0.6953426599502563,0.7554477453231812,0.6025356614527478,0.45311381195461886,0.7554477453231812,0.3023339333685623
221040043,536856,4697980,BODEGAS CORRAL,NAVARRETE,Rioja (La),ALUVIAL DEL NAJERILLA-EBRO,RNIT,-2.551921968548726,42.43326316274595,42.43326316274595,-2.551921968548726,22.0,16.6,19.1,24.700000000000003,25.700000000000003,23.8,7.7,8.0,8.0,24.0,22.8,24.5,49.0,47.0,49.0,19.0,10.9,11.0,0.34900000000000003,0.33,0.339,0.162,0.167,0.167,242,Mosaico cultivos,True,242,Mosaico cultivos,True,False,ZU,Zona urbana,24398.31889342541,0.23,,False,0.0,True,472.3800354003906,0.19048438608236629,0.1884926782611039,0.1822819858789444,0.14844444394111633,0.17308981716632843,0.1626155525445938,0.16780008375644684,0.17439652979373932,0.15665894746780396,0.17707794904708862,0.1633603572845459,0.17133661192946162,0.14844444394111633,0.19048438608236629,-0.027124028797820388
221080061,538113,4695352,FUENTE NAVARRETE. FUENTE DEL PRADO,NAVARRETE,Rioja (La),SIN DEFINIR MASA,RNIT,-2.5368146601699086,42.40953540715909,42.40953540715909,-2.5368146601699086,20.5,15.200000000000001,17.2,21.0,23.5,21.0,7.9,8.0,8.0,26.900000000000002,24.400000000000002,27.0,47.0,45.6,47.5,19.900000000000002,10.600000000000001,10.3,0.35000000000000003,0.338,0.34400000000000003,0.154,0.154,0.154,221,Vinedos,True,221,Vinedos,True,False,MT,Monte bajo / Matorral,1590.4405489337184,0.61,0.0,False,0.0,False,498.3445739746094,0.3378003461616779,0.2837374183818068,0.33162763714790344,0.44337138533592224,0.4181061387062073,0.4678284525871277,0.46600985527038574,0.39065420627593994,0.5415282249450684,0.565947413444519,0.509950578212738,0.4324146960426633,0.2837374183818068,0.565947413444519,0.17215023205106011
231050145,545213,4694131,Mogrones (PO: 17; PA: 104 ),ALBERITE,Rioja (La),ALUVIAL DE LA RIOJA-MENDAVIA,RNIT,-2.4506282182385846,42.39815846024035,42.39815846024035,-2.4506282182385846,18.6,16.400000000000002,17.2,23.6,24.8,24.5,7.6000000000000005,7.7,7.7,25.6,25.200000000000003,26.700000000000003,47.900000000000006,45.0,47.0,29.900000000000002,12.4,12.9,0.339,0.318,0.329,0.159,0.158,0.157,242,Mosaico cultivos,True,242,Mosaico cultivos,True,False,TA,Tierra arable,758.2287939020938,0.26,100.0,True,0.0,False,453.52001953125,0.6470217892730613,0.6754712474372501,0.653718113899231,0.599884033203125,0.6984830498695374,0.7606683969497681,0.6664907932281494,0.6998201012611389,0.6908414363861084,0.754406213760376,0.7114267945289612,0.687111997254246,0.599884033203125,0.7606683969497681,0.06440500525589987
231060003,547152,4694126,FUENTE DE LA DEHESA (Po. 13; Pa. 202),ALBERITE,Rioja (La),SIN DEFINIR MASA,RNIT,-2.427069447301891,42.39799811322175,42.39799811322175,-2.427069447301891,21.5,16.2,18.400000000000002,26.5,28.200000000000003,26.6,7.9,8.0,8.1,26.200000000000003,25.0,26.400000000000002,43.900000000000006,41.0,43.2,19.1,10.8,11.600000000000001,0.333,0.324,0.324,0.165,0.161,0.165,242,Mosaico cultivos,True,242,Mosaico cultivos,True,False,IM,Improductivo,96.66089739338861,0.81,,False,0.0,True,504.2480163574219,0.5849249006819486,0.4935835029648642,0.4379298985004425,0.4196261465549469,0.3908117413520813,0.4333969056606293,0.38569122552871704,0.339712917804718,0.3856619596481323,0.40311098098754883,0.3622947931289673,0.42152227025572697,0.339712917804718,0.5849249006819486,-0.2226301075529813
231010130,542154,4703974,INDUKIT,LOGROÑO,Rioja (La),ALUVIAL DE LA RIOJA-MENDAVIA,RNIT,-2.487073312993152,42.4869727570159,42.4869727570159,-2.487073312993152,20.3,16.0,16.6,23.1,23.900000000000002,25.5,7.800000000000001,8.0,8.0,23.900000000000002,22.700000000000003,23.0,45.300000000000004,43.800000000000004,44.1,18.6,11.5,11.700000000000001,0.358,0.34600000000000003,0.35000000000000003,0.176,0.185,0.176,242,Mosaico cultivos,True,242,Mosaico cultivos,True,False,IM,Improductivo,17307.69843418291,0.24,,False,0.0,True,377.3572998046875,0.348531011185779,0.32057887659597123,0.29172107577323914,0.4323328137397766,0.3941710591316223,0.30001890659332275,0.3743961453437805,0.23538541793823242,0.3081781566143036,0.311661034822464,0.3144911825656891,0.3301332436640164,0.23538541793823242,0.4323328137397766,-0.03403982862008992
231020159,550879,4701051,PASADA DEL ESPINAL,LOGROÑO,Rioja (La),ALUVIAL DE LA RIOJA-MENDAVIA,RNIT,-2.3811730639845217,42.46012571289091,42.46012571289091,-2.3811730639845217,20.400000000000002,14.600000000000001,16.3,23.700000000000003,25.1,24.5,7.800000000000001,8.0,8.0,21.6,20.900000000000002,21.6,51.0,48.1,49.5,18.900000000000002,10.200000000000001,11.8,0.354,0.332,0.34500000000000003,0.165,0.185,0.184,242,Mosaico cultivos,True,242,Mosaico cultivos,True,False,CA,Viales,2020.6837001470403,0.56,,False,0.0,True,365.343017578125,0.5832052325406154,0.6215020379611511,0.5058083534240723,0.42206883430480957,0.3767634630203247,0.37785911560058594,0.42352941632270813,0.3228454291820526,0.5537369847297668,0.45079055428504944,0.39399972558021545,0.4574644679046683,0.3228454291820526,0.6215020379611511,-0.18920550696039995
231030091,553380,4700080,LA TEJERA,LOGROÑO,Rioja (La),ALUVIAL DE LA RIOJA-MENDAVIA,RNIT,-2.3508462786992776,42.45121323934095,42.45121323934095,-2.3508462786992776,19.400000000000002,15.4,17.2,22.400000000000002,24.8,23.3,8.0,8.0,8.0,21.6,21.0,21.6,51.2,48.0,51.2,18.7,10.700000000000001,12.3,0.332,0.318,0.325,0.17,0.185,0.185,212,Terrenos regados,True,212,Terrenos regados,True,False,CA,Viales,12120.305583253885,1.02,,False,0.0,False,356.8632507324219,0.345775327958681,0.2314044616476169,0.2088397741317749,0.21503983438014984,0.18207986652851105,0.2112520933151245,0.2732732594013214,0.1637735813856125,0.4913504123687744,0.4089173972606659,0.23472774028778076,0.2696757953332739,0.1637735813856125,0.4913504123687744,-0.11104758767090023
220950084,512304,4713120,Pozo Mazo 2,HARO,Rioja (La),ALUVIAL DEL OJA,RNIT,-2.8500863567929398,42.57038980189249,42.57038980189249,-2.8500863567929398,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112,Tejido urbano discontinuo,False,112,Tejido urbano discontinuo,False,False,ZU,Zona urbana,3169966.949362416,0.85,,False,0.0,True,470.14300537109375,0.2651004449238236,0.2590099078620881,0.12762516736984253,0.1510004848241806,0.1334318071603775,0.1961013525724411,0.12375162541866302,0.12067677080631256,0.1407468169927597,0.1625201404094696,0.1378563642501831,0.16525644387183103,0.12067677080631256,0.2651004449238236,-0.12724408067364051
